,RHOB,PHIN,Vp
0,2.719,0.078,5.995203837
1,2.7075,0.0975,5.943536404
2,2.696,0.117,5.892751915
3,2.6845,0.1365,5.842827929
4,2.673,0.156,5.793742758
5,2.6615,0.1755,5.745475438
6,2.65,0.195,5.698005698
7,2.704,0.0655,5.993407252
8,2.6925,0.085,5.941770648
9,2.681,0.1045,5.8910162
10,2.6695,0.124,5.841121495
11,2.658,0.1435,5.792064871
12,2.6465,0.163,5.743825388
13,2.635,0.1825,5.696382797
14,2.689,0.053,5.991611744
15,2.6775,0.0725,5.94000594
16,2.666,0.092,5.889281508
17,2.6545,0.1115,5.839416058
18,2.643,0.131,5.790387956
19,2.6315,0.1505,5.742176285
20,2.62,0.17,5.69476082
21,2.674,0.0405,5.989817311
22,2.6625,0.06,5.93824228
23,2.651,0.0795,5.887547836
24,2.6395,0.099,5.837711617
25,2.628,0.1185,5.788712012
26,2.6165,0.138,5.740528129
27,2.605,0.1575,5.693139767
28,2.659,0.028,5.988023952
29,2.6475,0.0475,5.936479668
30,2.636,0.067,5.885815185
31,2.6245,0.0865,5.83600817
32,2.613,0.106,5.787037037
33,2.6015,0.1255,5.738880918
34,2.59,0.145,5.691519636
35,2.6325,0.035,5.934718101
36,2.621,0.0545,5.884083554
37,2.6095,0.074,5.834305718
38,2.598,0.0935,5.785363032
39,2.5865,0.113,5.737234653
40,2.575,0.1325,5.689900427
41,2.606,0.042,5.882352941
42,2.5945,0.0615,5.832604258
43,2.583,0.081,5.783689994
44,2.5715,0.1005,5.735589332
45,2.56,0.12,5.688282139
46,2.5795,0.049,5.83090379
47,2.568,0.0685,5.782017924
48,2.5565,0.088,5.733944954
49,2.545,0.1075,5.686664771
50,2.553,0.056,5.780346821
51,2.5415,0.0755,5.732301519
52,2.53,0.095,5.685048323
53,2.5265,0.063,5.730659026
54,2.515,0.0825,5.683432793
55,2.5,0.07,5.681818182
56,2.7355,0.0695,5.995203837
57,2.724,0.089,5.943536404
58,2.7125,0.1085,5.892751915
59,2.701,0.128,5.842827929
60,2.6895,0.1475,5.793742758
61,2.678,0.167,5.745475438
62,2.6665,0.1865,5.698005698
63,2.7205,0.057,5.993407252
64,2.709,0.0765,5.941770648
65,2.6975,0.096,5.8910162
66,2.686,0.1155,5.841121495
67,2.6745,0.135,5.792064871
68,2.663,0.1545,5.743825388
69,2.6515,0.174,5.696382797
70,2.7055,0.0445,5.991611744
71,2.694,0.064,5.94000594
72,2.6825,0.0835,5.889281508
73,2.671,0.103,5.839416058
74,2.6595,0.1225,5.790387956
75,2.648,0.142,5.742176285
76,2.6365,0.1615,5.69476082
77,2.6905,0.032,5.989817311
78,2.679,0.0515,5.93824228
79,2.6675,0.071,5.887547836
80,2.656,0.0905,5.837711617
81,2.6445,0.11,5.788712012
82,2.633,0.1295,5.740528129
83,2.6215,0.149,5.693139767
84,2.664,0.039,5.936479668
85,2.6525,0.0585,5.885815185
86,2.641,0.078,5.83600817
87,2.6295,0.0975,5.787037037
88,2.618,0.117,5.738880918
89,2.6065,0.1365,5.691519636
90,2.6375,0.046,5.884083554
91,2.626,0.0655,5.834305718
92,2.6145,0.085,5.785363032
93,2.603,0.1045,5.737234653
94,2.5915,0.124,5.689900427
95,2.611,0.053,5.832604258
96,2.5995,0.0725,5.783689994
97,2.588,0.092,5.735589332
98,2.5765,0.1115,5.688282139
99,2.5845,0.06,5.782017924
